id,匿名id,注册id,ABTest标签,app_channel,device_id,imei,information_user_first_use_app_time,is_media_aso,kaike_user,姓名,广告系列内容,广告系列名称,广告系列媒介,广告系列字词,广告系列来源,性别,所在行业,投资人,投资人第一次登录创投app月份,是否是36kr员工,注册手机所在市,注册手机所在省,渠道追踪匹配模式,生日,省份,职位,首次访问时间
-9.1686E+18,3B77146E-9A31-4A42-8C7A-E9626C5122F5,16311885,,,3B77146E-9A31-4A42-8C7A-E9626C5122F5,,1534959801,,,,,,,,,,,,,,,,,,,,43:21.
-9.16647E+18,528D07FA-F0F2-4D47-A16E-B38228BC1173,19415773,"none,test01,test03",,528D07FA-F0F2-4D47-A16E-B38228BC1173,,1528004749,,,,,,,,,male,,,,,,,,00:00.,,,
-9.15434E+18,7EBB8D12-FE49-4B73-BB16-D4491CC49227,,"none,test01",,7EBB8D12-FE49-4B73-BB16-D4491CC49227,,1507880833,,,,,,,,,,,,,,,,,,,,47:16.
-9.1504E+18,93D8B25F-B4D4-43B7-BD07-93A518C14AEE,,"none,test01",,93D8B25F-B4D4-43B7-BD07-93A518C14AEE,,1531058743,,,,,,,,,,,,,,,,,,,,05:43.
-9.14871E+18,78aa06d4cd1e7b93,,"none,test01,test03",,78aa06d4cd1e7b93,8.67439E+14,1.52801E+12,,,,,,,,huawei,,,,,,,,,,,,
-9.14625E+18,55CEDBD2-B88A-4C8D-8519-815DAE2BC7B5,1046166071,"none,test03",,55CEDBD2-B88A-4C8D-8519-815DAE2BC7B5,,1516975594,,,,,,,,,,,,,,,,,,,,
-9.14606E+18,6DB6DA46-8ADA-4D9C-A43F-E52E1DA89E33,975188384,"none,test03",,6DB6DA46-8ADA-4D9C-A43F-E52E1DA89E33,8.62484E+14,1525827829,,,,,,,,,,,,,,,,,,,,
-9.14588E+18,ad6d5b1b549820f3,16948214,"none,test01,test03",huawei,ad6d5b1b549820f3,8.68632E+14,1.52972E+12,,,,,,,,,,,,,,,,,,,,
-9.13455E+18,DDD24AFC-A3BF-43E3-95D5-725B34DE5AA6,1586539423,none,,DDD24AFC-A3BF-43E3-95D5-725B34DE5AA6,,1507555234,,,,,,,,,,,,,,,,,,,,
-9.12224E+18,26eb36056b349101,19095650,"none,test01,test03",,26eb36056b349101,,1.52975E+12,,,,,,,,vivo,female,其他,,,,,,,00:00.,,学生,
-9.1205E+18,2E03EDF2-A37A-4262-B012-AB72AF048F32,,"none,test03",,2E03EDF2-A37A-4262-B012-AB72AF048F32,,1526864939,,,,,,,,,,,,,,,,,,,,
-9.11962E+18,D25A3E78-BD9B-48E2-AACA-1826CB38409E,19362800,,,D25A3E78-BD9B-48E2-AACA-1826CB38409E,,1534999775,,,,,,,,,,,,,,,,,,,,49:36.
